Request DOC-ID,Date Posted,Date Received,10-Digit HTS,6-Digit HTS,BEC-Code,BEC-Description,Submitter LastName,Submitter FirstName,Organisation Name,Product Title,Approved,Denied,Pending
USTR-2018-0032-0086,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0087,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0088,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0089,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0090,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0091,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0092,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0093,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0094,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0095,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0096,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,0,1,0
USTR-2018-0032-0097,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,0,1,0
USTR-2018-0032-0098,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,0,1,0
USTR-2018-0032-0099,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,0,1,0
USTR-2018-0032-0100,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,replacement actuator,1,0,0
USTR-2018-0032-0101,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0102,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,wind charge controller,0,1,0
USTR-2018-0032-0103,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0104,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0105,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0106,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0107,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0108,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0109,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,infrared photo eye sensor for garage and gate opener,1,0,0
USTR-2018-0032-0110,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,wired multicode or access cards keypad,1,0,0
USTR-2018-0032-0113,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,1,0,0
USTR-2018-0032-0114,10/10/2018,10/3/2018,8701931000,870193,41,Capital,Batkin,Roger,AGCO Corporation,attached cab tractor,0,1,0
USTR-2018-0032-0115,10/10/2018,10/3/2018,8701941000,870194,41,Capital,Batkin,Roger,AGCO Corporation,tractor with attached cab,0,1,0
USTR-2018-0032-0116,10/10/2018,10/3/2018,8544492000,854449,22,Intermediate,Race,Kari,Cardiac Science Corporation,component of automated external defibrillator,1,0,0
USTR-2018-0032-0117,10/10/2018,10/3/2018,8544492000,854449,22,Intermediate,Race,Kari,Cardiac Science Corporation,orange plastic disc of automated external defibrillator,0,1,0
USTR-2018-0032-0118,10/10/2018,10/3/2018,3920490000,392049,22,Intermediate,Kassel,Jack,"Lake Crescent, Inc.",plastic film of polymer,1,0,0
USTR-2018-0032-0119,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0120,10/16/2018,9/26/2018,8501106040,850110,41,Capital,Clasen,Patrick,EcoTech Marine LLC,motor,1,0,0
USTR-2018-0032-0122,10/23/2018,9/28/2018,8543704500,854370,41,Capital,Zimmermann,Matthew,TMI EP LLC,wheel speed sensor,1,0,0
USTR-2018-0032-0123,10/23/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0129,10/24/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0130,10/24/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,two-piece driveway gate,1,0,0
USTR-2018-0032-0131,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel driveway gate,1,0,0
USTR-2018-0032-0132,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,iron dual swing gate,1,0,0
USTR-2018-0032-0133,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,iron gate,1,0,0
USTR-2018-0032-0134,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0135,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0136,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0137,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0138,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,iron single swing gate,1,0,0
USTR-2018-0032-0139,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,half of steel gate,1,0,0
USTR-2018-0032-0140,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,dual driveway gate,1,0,0
USTR-2018-0032-0141,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0142,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,dual driveway gate,1,0,0
USTR-2018-0032-0143,10/25/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,iron fence,1,0,0
USTR-2018-0032-0144,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel driveway gate,1,0,0
USTR-2018-0032-0145,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,remote control for gate opener,1,0,0
USTR-2018-0032-0146,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,universal gate opener,0,1,0
USTR-2018-0032-0147,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,universal gate opener,0,1,0
USTR-2018-0032-0148,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate opener,0,1,0
USTR-2018-0032-0149,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,heavy duty automatic gate electric lock,0,1,0
USTR-2018-0032-0150,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,heavy duty automatic gate electric lock,0,1,0
USTR-2018-0032-0151,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,iron driveway fence,1,0,0
USTR-2018-0032-0152,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,core wire a cable 5 conductor (2Xgauge 16 and 3Xgauge 18) strand,0,1,0
USTR-2018-0032-0153,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0154,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,wireless sensor gate opener,0,1,0
USTR-2018-0032-0155,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0156,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0157,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,exit sensor underground automatic opener exit wand loop detector,0,1,0
USTR-2018-0032-0158,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0159,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,two-piece driveway gate,1,0,0
USTR-2018-0032-0160,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0161,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,two-piece driveway gate,1,0,0
USTR-2018-0032-0162,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0163,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,steel fence,1,0,0
USTR-2018-0032-0164,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,two-piece driveway gate,1,0,0
USTR-2018-0032-0165,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY iron fence,1,0,0
USTR-2018-0032-0166,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,universal touch panel keyboard wired keypad,0,1,0
USTR-2018-0032-0167,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,iron driveway fence,1,0,0
USTR-2018-0032-0168,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0169,10/25/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,automatic electromagnetic lock,0,1,0
USTR-2018-0032-0170,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0171,10/25/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,DIY steel fence,1,0,0
USTR-2018-0032-0172,10/26/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,entry keypad access card,0,1,0
USTR-2018-0032-0173,10/26/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,universal touch panel keyboard wired keypad,0,1,0
USTR-2018-0032-0174,10/26/2018,10/3/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,two-piece driveway gate,1,0,0
USTR-2018-0032-0175,10/26/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,universal wired metal alloy water proof keypad,0,1,0
USTR-2018-0032-0176,10/26/2018,10/3/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,universal wired metal alloy water proof keypad,0,1,0
